activo_id,fecha_corte,horizonte_dias,edad_dias,edad_anos,odometro_actual,horometro_actual,km_dia_promedio,horas_dia_promedio,dias_desde_ultima_ot,count_ot_30d,count_ot_90d,count_correctivas_30d,count_correctivas_90d,costo_total_30d,costo_total_90d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,target,created_at,count_ot_7d,count_correctivas_7d,costo_total_7d,mtbf_90d
ACE-0001,2026-01-16,7,192.0,0.5256673511293635,35426.0,796.0,-1.0,-1.0,58.0,-1.0,2.0,-1.0,-1.0,-1.0,571000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0003,2026-01-16,7,2900.0,7.939767282683094,138961.0,5139.6,-1.0,-1.0,139.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0004,2026-01-16,7,1247.0,3.4140999315537304,76097.0,3258.2,-1.0,-1.0,61.0,-1.0,1.0,-1.0,1.0,-1.0,2843000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0005,2026-01-16,7,1431.0,3.917864476386037,165421.0,7647.5,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0006,2026-01-16,7,828.0,2.2669404517453797,97427.0,3531.4,-1.0,-1.0,56.0,-1.0,1.0,-1.0,1.0,-1.0,2063000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0007,2026-01-16,7,1472.0,4.030116358658453,410427.0,8058.2,-1.0,-1.0,161.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0008,2026-01-16,7,1605.0,4.394250513347022,315612.0,5255.8,-1.0,-1.0,170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0009,2026-01-16,7,1739.0,4.761122518822724,269937.0,7431.9,-1.0,-1.0,54.0,-1.0,1.0,-1.0,1.0,-1.0,1684000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0010,2026-01-16,7,2905.0,7.953456536618754,296304.0,18467.6,-1.0,-1.0,234.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0011,2026-01-16,7,2989.0,8.183436002737851,401137.0,21699.8,-1.0,-1.0,5.0,1.0,1.0,1.0,1.0,2228000.0,2228000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,1,1,2228000.0,-1
ACE-0013,2026-01-16,7,-7.0,-0.019164955509924708,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0014,2026-01-16,7,1116.0,3.055441478439425,78171.0,4821.1,-1.0,-1.0,9.0,1.0,1.0,1.0,1.0,732000.0,732000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0015,2026-01-16,7,1600.0,4.380561259411362,175376.0,5954.2,-1.0,-1.0,27.0,1.0,1.0,1.0,1.0,1687000.0,1687000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0016,2026-01-16,7,533.0,1.45927446954141,54125.0,3115.0,-1.0,-1.0,28.0,1.0,1.0,-1.0,-1.0,601000.0,601000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0017,2026-01-16,7,3582.0,9.806981519507186,509736.0,14563.8,-1.0,-1.0,22.0,1.0,2.0,1.0,1.0,1714000.0,2007000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0018,2026-01-16,7,4030.0,11.033538672142368,622099.0,16524.8,-1.0,-1.0,52.0,-1.0,1.0,-1.0,-1.0,-1.0,410000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0019,2026-01-16,7,1532.0,4.1943874058863795,157760.0,14464.7,-1.0,-1.0,246.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0020,2026-01-16,7,3967.0,10.861054072553046,690423.0,23008.5,-1.0,-1.0,22.0,1.0,1.0,-1.0,-1.0,475000.0,475000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0021,2026-01-16,7,2313.0,6.33264887063655,790357.0,11636.9,-1.0,-1.0,25.0,1.0,2.0,1.0,2.0,1204000.0,1870000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0022,2026-01-16,7,1095.0,2.9979466119096507,94513.0,6546.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,677000.0,677000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,1,1,677000.0,-1
ACE-0023,2026-01-16,7,1581.0,4.328542094455853,212552.0,18200.3,-1.0,-1.0,64.0,-1.0,1.0,-1.0,1.0,-1.0,580000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0024,2026-01-16,7,381.0,1.0431211498973305,56782.0,929.4,-1.0,-1.0,227.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0025,2026-01-16,7,3202.0,8.766598220396988,494164.0,11810.4,-1.0,-1.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0026,2026-01-16,7,-53.0,-0.14510609171800137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0027,2026-01-16,7,1165.0,3.189596167008898,346323.0,6190.5,-1.0,-1.0,31.0,-1.0,1.0,-1.0,-1.0,-1.0,415000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0028,2026-01-16,7,3059.0,8.375085557837098,1023380.0,19814.0,-1.0,-1.0,332.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0029,2026-01-16,7,3946.0,10.803559206023271,379608.0,18852.8,-1.0,-1.0,25.0,1.0,2.0,-1.0,-1.0,518000.0,976000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0030,2026-01-16,7,2383.0,6.524298425735798,197249.0,4846.3,-1.0,-1.0,331.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0031,2026-01-16,7,1594.0,4.3641341546885695,147812.0,6049.4,-1.0,-1.0,10.0,1.0,2.0,-1.0,1.0,531000.0,1249000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
ACE-0032,2026-01-16,7,1090.0,2.9842573579739904,219211.0,4265.3,-1.0,-1.0,76.0,-1.0,1.0,-1.0,-1.0,-1.0,764000.0,-1.0,-1.0,-1.0,0,2026-06-15 15:28:11.202333+00:00,-1,-1,-1.0,-1
