panel_id,vista,metrica,valor,valor_anterior,fecha_calculo,horizonte_dias,nota,periodo_mes,delta_color,fuente_sql
1065,Estado y Riesgo,Unidades operativas,1198.0,,2026-06-17 23:42:26.457819,,,,neutral,
1066,Estado y Riesgo,Disponibilidad,98.54320221980039,,2026-06-17 23:42:32.639185,,,,neutral,
1067,Estado y Riesgo,P1 Crítica,1.0,,2026-06-17 23:42:36.187112,7.0,,,neutral,
1068,Estado y Riesgo,P2 Alta,5.0,,2026-06-17 23:42:39.751454,7.0,,,neutral,
1069,Estado y Riesgo,P1 Crítica,0.0,,2026-06-17 23:42:43.298649,30.0,,,neutral,
1070,Estado y Riesgo,P2 Alta,7.0,,2026-06-17 23:42:46.801351,30.0,,,neutral,
1071,Estado y Riesgo,P1 Crítica,3.0,,2026-06-17 23:42:50.410491,90.0,,,neutral,
1072,Estado y Riesgo,P2 Alta,23.0,,2026-06-17 23:42:54.026016,90.0,,,neutral,
1073,Estado y Riesgo,Fallas anticipadas,0.0,,2026-06-17 23:42:58.748609,,,,neutral,
1074,Estado y Riesgo,MTBF,8695.520179856116,,2026-06-17 23:43:05.082099,,,,neutral,
1075,Mapa de calor,carroceria_chasis,12.0,,2026-06-17 23:43:11.362879,90.0,,,neutral,
1076,Mapa de calor,combustible_admision,4.0,,2026-06-17 23:43:13.843673,7.0,,,neutral,
1077,Mapa de calor,combustible_admision,4.0,,2026-06-17 23:43:16.450929,30.0,,,neutral,
1078,Mapa de calor,combustible_admision,70.0,,2026-06-17 23:43:18.896063,90.0,,,neutral,
1079,Mapa de calor,direccion,6.0,,2026-06-17 23:43:21.369171,7.0,,,neutral,
1080,Mapa de calor,direccion,6.0,,2026-06-17 23:43:23.822571,30.0,,,neutral,
1081,Mapa de calor,direccion,45.0,,2026-06-17 23:43:26.350596,90.0,,,neutral,
1082,Mapa de calor,electrico_12v_24v,8.0,,2026-06-17 23:43:28.820007,7.0,,,neutral,
1083,Mapa de calor,electrico_12v_24v,7.0,,2026-06-17 23:43:31.324671,30.0,,,neutral,
1084,Mapa de calor,electrico_12v_24v,70.0,,2026-06-17 23:43:33.772517,90.0,,,neutral,
1085,Mapa de calor,escape_emisiones,2.0,,2026-06-17 23:43:36.213675,7.0,,,neutral,
1086,Mapa de calor,escape_emisiones,1.0,,2026-06-17 23:43:38.675463,30.0,,,neutral,
1087,Mapa de calor,escape_emisiones,10.0,,2026-06-17 23:43:41.185742,90.0,,,neutral,
1088,Mapa de calor,frenos_servicio,8.0,,2026-06-17 23:43:43.719579,7.0,,,neutral,
1089,Mapa de calor,frenos_servicio,11.0,,2026-06-17 23:43:46.258842,30.0,,,neutral,
1090,Mapa de calor,frenos_servicio,100.0,,2026-06-17 23:43:48.762375,90.0,,,neutral,
