sku,descripcion,stock_actual,lead_time_dias,criticidad,costo_unitario_clp,cobertura_dias,fecha_calculo,sistema,cantidad_promedio_por_intervencion,n_intervenciones_proximas,stock_requerido,brecha
REP-0015,Caliper de freno delantero derecho para bus,6.0,4,alta,145000.0,,2026-06-15 21:15:22.334594,sistema de frenos,0.0,2,0.0,6.0
REP-0017,Caliper de freno delantero derecho para camioneta,7.0,4,alta,81000.0,,2026-06-15 21:15:23.795146,sistema de frenos,0.0,2,0.0,7.0
REP-0018,Filtro de combustible,6.0,30,media,65000.0,,2026-06-15 21:15:25.239480,sistema de combustible,8.444444444444445,1,8.444444444444445,-2.444444444444444
REP-0019,Caliper de freno delantero derecho para camión liviano,6.0,4,alta,115000.0,,2026-06-15 21:15:26.844661,sistema de frenos,0.0,2,0.0,6.0
REP-0020,Manguera hidráulica 1 metro,6.0,30,media,45000.0,,2026-06-15 21:15:28.624660,sistema hidráulico,5.509433962264151,0,0.0,6.0
REP-0037,Bomba de combustible,9.0,30,media,275000.0,,2026-06-15 21:15:30.195668,sistema de combustible,0.0,1,0.0,9.0
REP-0038,Caliper de freno trasero derecho para auto liviano,23.0,4,alta,62000.0,,2026-06-15 21:15:31.769417,sistema de frenos,0.0,2,0.0,23.0
REP-0039,Bomba hidráulica reparada,9.0,30,media,325000.0,,2026-06-15 21:15:33.355254,sistema hidráulico,4.266666666666667,0,0.0,9.0
REP-0041,Caliper de freno trasero derecho para camioneta,2.0,4,alta,78000.0,,2026-06-15 21:15:34.916353,sistema de frenos,0.0,2,0.0,2.0
REP-0044,Válvula motor,14.0,30,media,105000.0,,2026-06-15 21:15:36.634986,motor,0.0,2,0.0,14.0
REP-0052,Caliper de freno trasero izquierdo para bus,7.0,4,alta,135000.0,,2026-06-15 21:15:38.179127,sistema de frenos,0.0,2,0.0,7.0
REP-0053,Caliper de freno trasero izquierdo para camioneta,7.0,4,alta,78000.0,,2026-06-15 21:15:39.498688,sistema de frenos,0.0,2,0.0,7.0
REP-0054,Correa de distribución,7.0,30,media,185000.0,,2026-06-15 21:15:41.076683,motor,0.0,2,0.0,7.0
REP-0055,Caliper de freno trasero izquierdo para camión liviano,7.0,4,alta,110000.0,,2026-06-15 21:15:42.517691,sistema de frenos,0.0,2,0.0,7.0
REP-0057,Caliper de freno trasero izquierdo para camión pesado,2.0,4,alta,185000.0,,2026-06-15 21:15:43.963442,sistema de frenos,0.0,2,0.0,2.0
REP-0058,Kit limpieza inyectores,2.0,30,media,245000.0,,2026-06-15 21:15:45.401295,sistema de combustible,4.0,1,4.0,-2.0
REP-0059,Caliper de freno trasero izquierdo para van,7.0,4,alta,84000.0,,2026-06-15 21:15:46.836046,sistema de frenos,0.0,2,0.0,7.0
REP-0063,Cilindro de rueda trasero para bus,4.0,3,alta,40000.0,,2026-06-15 21:15:48.161008,sistema de frenos,0.0,2,0.0,4.0
REP-0064,Múltiple de escape,4.0,30,media,195000.0,,2026-06-15 21:15:49.592591,motor,0.0,2,0.0,4.0
REP-0065,Cilindro de rueda trasero para camioneta,4.0,3,alta,22000.0,,2026-06-15 21:15:51.021621,sistema de frenos,0.0,2,0.0,4.0
REP-0066,Pastilla trasera izquierda,7.0,30,media,82500.0,,2026-06-15 21:15:52.500307,sistema de frenos,8.0,2,16.0,-9.0
REP-0067,Cilindro de rueda trasero para camión liviano,7.0,3,alta,32000.0,,2026-06-15 21:15:53.926449,sistema de frenos,0.0,2,0.0,7.0
REP-0068,Pastilla trasera derecha,7.0,30,media,82500.0,,2026-06-15 21:15:55.367258,sistema de frenos,8.0,2,16.0,-9.0
REP-0077,Disco de freno delantero para camioneta,3.0,2,alta,42000.0,,2026-06-15 21:15:57.083452,sistema de frenos,9.5,2,19.0,-16.0
REP-0078,Válvula termostática,3.0,30,media,95000.0,,2026-06-15 21:15:58.751564,sistema de enfriamiento,0.0,1,0.0,3.0
REP-0079,Disco de freno delantero para camión liviano,3.0,2,alta,61000.0,,2026-06-15 21:16:00.435885,sistema de frenos,9.666666666666666,2,19.333333333333332,-16.333333333333332
REP-0080,Regulador de presión,3.0,30,media,75000.0,,2026-06-15 21:16:01.917481,sistema de combustible,4.8,1,4.8,-1.8
REP-0081,Cilindro hidráulico,3.0,30,media,285000.0,,2026-06-15 21:16:03.229675,sistema hidráulico,4.4,0,0.0,3.0
REP-0082,Disco de freno delantero para camión pesado,3.0,2,alta,100000.0,,2026-06-15 21:16:04.801878,sistema de frenos,12.0,2,24.0,-21.0
REP-0085,Disco de freno trasero para auto liviano,3.0,2,alta,32000.0,,2026-06-15 21:16:06.221911,sistema de frenos,8.864864864864865,2,17.72972972972973,-14.72972972972973
REP-0086,Sensor Lambda universal,3.0,30,media,75000.0,,2026-06-15 21:16:07.801134,motor,19.545454545454547,2,39.09090909090909,-36.09090909090909
REP-0088,Pastilla frontal izquierda,3.0,30,media,97500.0,,2026-06-15 21:16:09.421506,sistema de frenos,0.0,2,0.0,3.0
REP-0089,Disco de freno trasero para camioneta,3.0,2,alta,40000.0,,2026-06-15 21:16:11.086266,sistema de frenos,8.181818181818182,2,16.363636363636363,-13.363636363636363
REP-0090,Pastilla frontal derecha,24.0,30,media,97500.0,,2026-06-15 21:16:12.794934,sistema de frenos,0.0,2,0.0,24.0
REP-0091,Disco de freno trasero para camión liviano,24.0,2,alta,58000.0,,2026-06-15 21:16:14.237947,sistema de frenos,8.421052631578947,2,16.842105263157894,7.157894736842105
REP-0092,Sello diferencial reforzado,24.0,30,media,145000.0,,2026-06-15 21:16:15.992668,transmisión,6.0,0,0.0,24.0
REP-0093,Disco de freno trasero para camión pesado,24.0,2,alta,97000.0,,2026-06-15 21:16:17.570022,sistema de frenos,10.4,2,20.8,3.2
REP-0097,Aceite motor premium 20L,24.0,30,media,85000.0,,2026-06-15 21:16:19.081077,motor,19.05263157894737,2,38.10526315789474,-14.105263157894736
REP-0098,Líquido de frenos DOT 3 para auto liviano,24.0,2,alta,6000.0,,2026-06-15 21:16:20.528970,sistema de frenos,10.526315789473685,2,21.05263157894737,2.9473684210526314
REP-0099,Líquido de frenos DOT 3 para bus,24.0,2,alta,13000.0,,2026-06-15 21:16:22.276683,sistema de frenos,10.666666666666666,2,21.333333333333332,2.6666666666666665
REP-0100,Ventilador eléctrico,24.0,30,media,125000.0,,2026-06-15 21:16:23.850097,sistema de enfriamiento,4.8,1,4.8,19.2
REP-0101,Combustible para limpieza,24.0,30,media,33000.0,,2026-06-15 21:16:25.425997,sistema de combustible,4.923076923076923,1,4.923076923076923,19.076923076923077
REP-0102,Líquido de frenos DOT 3 para camioneta,24.0,2,alta,7500.0,,2026-06-15 21:16:26.954675,sistema de frenos,12.307692307692308,2,24.615384615384617,-0.6153846153846154
REP-0104,Tubería hidráulica 2 metros,24.0,30,media,97500.0,,2026-06-15 21:16:28.394834,sistema hidráulico,9.442622950819672,0,0.0,24.0
REP-0103,Líquido de frenos DOT 3 para camión liviano,24.0,2,alta,11000.0,,2026-06-15 21:16:30.103919,sistema de frenos,13.2,2,26.4,-2.4
REP-0106,Líquido de frenos DOT 3 para camión pesado,24.0,2,alta,18000.0,,2026-06-15 21:16:31.405879,sistema de frenos,13.23076923076923,2,26.46153846153846,-2.4615384615384617
