sku,descripcion,sistema,componente,proveedor_principal,lead_time_dias_promedio,costo_unitario_clp,stock_actual,stock_minimo,criticidad,rotacion,activo,updated_at
REP-0015,Caliper de freno delantero derecho para bus,Sistema de frenos,,No indicado,4.0,145000.0,6.0,5.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0017,Caliper de freno delantero derecho para camioneta,Sistema de frenos,,No indicado,4.0,81000.0,7.0,6.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0018,Filtro de combustible,Sistema de Combustible,,No indicado,30.0,65000.0,6.0,5.0,media,media,True,2026-05-22 20:41:10.387996
REP-0019,Caliper de freno delantero derecho para camión liviano,Sistema de frenos,,No indicado,4.0,115000.0,6.0,5.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0020,Manguera hidráulica 1 metro,Sistema Hidráulico,,No indicado,30.0,45000.0,6.0,5.0,media,media,True,2026-05-22 20:41:10.387996
REP-0021,Aceite de dirección premium,Sistema de Dirección,,No indicado,30.0,25000.0,6.0,5.0,media,media,True,2026-05-22 20:41:10.387996
REP-0037,Bomba de combustible,Sistema de Combustible,,No indicado,30.0,275000.0,9.0,8.0,media,media,True,2026-05-22 20:41:10.387996
REP-0038,Caliper de freno trasero derecho para auto liviano,Sistema de frenos,,No indicado,4.0,62000.0,23.0,22.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0039,Bomba hidráulica reparada,Sistema Hidráulico,,No indicado,30.0,325000.0,9.0,8.0,media,media,True,2026-05-22 20:41:10.387996
REP-0041,Caliper de freno trasero derecho para camioneta,Sistema de frenos,,No indicado,4.0,78000.0,2.0,1.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0042,Cremallera de dirección,Sistema de Dirección,,No indicado,30.0,285000.0,4.0,3.0,media,media,True,2026-05-22 20:41:10.387996
REP-0044,Válvula motor,Motor,,No indicado,30.0,105000.0,14.0,13.0,media,media,True,2026-05-22 20:41:10.387996
REP-0047,Caja de cambios reparada,Transmisión,,No indicado,30.0,550000.0,13.0,12.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0052,Caliper de freno trasero izquierdo para bus,Sistema de frenos,,No indicado,4.0,135000.0,7.0,6.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0053,Caliper de freno trasero izquierdo para camioneta,Sistema de frenos,,No indicado,4.0,78000.0,7.0,6.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0054,Correa de distribución,Motor,,No indicado,30.0,185000.0,7.0,6.0,media,media,True,2026-05-22 20:41:10.387996
REP-0055,Caliper de freno trasero izquierdo para camión liviano,Sistema de frenos,,No indicado,4.0,110000.0,7.0,6.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0057,Caliper de freno trasero izquierdo para camión pesado,Sistema de frenos,,No indicado,4.0,185000.0,2.0,1.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0058,Kit limpieza inyectores,Sistema de Combustible,,No indicado,30.0,245000.0,2.0,1.0,media,media,True,2026-05-22 20:41:10.387996
REP-0059,Caliper de freno trasero izquierdo para van,Sistema de frenos,,No indicado,4.0,84000.0,7.0,6.0,alta,baja,True,2026-05-22 20:41:10.387996
REP-0062,Junta homocinética,Sistema de Dirección,,No indicado,30.0,62500.0,7.0,6.0,media,media,True,2026-05-22 20:41:10.387996
REP-0063,Cilindro de rueda trasero para bus,Sistema de frenos,,No indicado,3.0,40000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0064,Múltiple de escape,Motor,,No indicado,30.0,195000.0,4.0,3.0,media,media,True,2026-05-22 20:41:10.387996
REP-0065,Cilindro de rueda trasero para camioneta,Sistema de frenos,,No indicado,3.0,22000.0,4.0,3.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0066,Pastilla trasera izquierda,Sistema de Frenos,,No indicado,30.0,82500.0,7.0,6.0,media,media,True,2026-05-22 20:41:10.387996
REP-0067,Cilindro de rueda trasero para camión liviano,Sistema de frenos,,No indicado,3.0,32000.0,7.0,6.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0068,Pastilla trasera derecha,Sistema de Frenos,,No indicado,30.0,82500.0,7.0,6.0,media,media,True,2026-05-22 20:41:10.387996
REP-0077,Disco de freno delantero para camioneta,Sistema de frenos,,No indicado,2.0,42000.0,3.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0078,Válvula termostática,Sistema de Enfriamiento,,No indicado,30.0,95000.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0079,Disco de freno delantero para camión liviano,Sistema de frenos,,No indicado,2.0,61000.0,3.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0080,Regulador de presión,Sistema de Combustible,,No indicado,30.0,75000.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0081,Cilindro hidráulico,Sistema Hidráulico,,No indicado,30.0,285000.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0082,Disco de freno delantero para camión pesado,Sistema de frenos,,No indicado,2.0,100000.0,3.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0083,Bomba de dirección reparada,Sistema de Dirección,,No indicado,30.0,95000.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0085,Disco de freno trasero para auto liviano,Sistema de frenos,,No indicado,2.0,32000.0,3.0,2.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0086,Sensor Lambda universal,Motor,,No indicado,30.0,75000.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0088,Pastilla frontal izquierda,Sistema de Frenos,,No indicado,30.0,97500.0,3.0,2.0,media,media,True,2026-05-22 20:41:10.387996
