sku,descripcion,sistema,componente,proveedor_principal,lead_time_dias_promedio,costo_unitario_clp,stock_actual,stock_minimo,criticidad,rotacion,activo,updated_at
REP-0001,Bomba central de freno para auto liviano,Sistema de frenos,null,No indicado,4,48000,56,22,alta,baja,true,2026-05-22 20:41:10.387996
REP-0002,Filtro de aire estándar,Motor,null,No indicado,30,15000,5,2,media,media,true,2026-05-22 20:41:10.387996
REP-0003,Bomba central de freno para bus,Sistema de frenos,null,No indicado,4,105000,8,8,alta,baja,true,2026-05-22 20:41:10.387996
REP-0004,Pastilla de freno frontal izquierda,Sistema de Frenos,null,No indicado,30,45000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0005,Bomba central de freno para camioneta,Sistema de frenos,null,No indicado,4,60000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0006,Pastilla de freno frontal derecha,Sistema de Frenos,null,No indicado,30,45000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0007,Bomba central de freno para camión liviano,Sistema de frenos,null,No indicado,4,86000,8,8,alta,baja,true,2026-05-22 20:41:10.387996
REP-0008,Sello de transmisión,Transmisión,null,No indicado,30,120000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0009,Batería 12V 100Ah,Sistema Eléctrico,null,No indicado,30,125000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0010,Bomba central de freno para camión pesado,Sistema de frenos,null,No indicado,4,145000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0011,Amortiguador hidráulico frontal,Sistema de Suspensión,null,No indicado,30,150000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0012,Bomba central de freno para van,Sistema de frenos,null,No indicado,4,65000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0013,Bujía estándar,Motor,null,No indicado,30,8000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0014,Caliper de freno delantero derecho para auto liviano,Sistema de frenos,null,No indicado,4,65000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0015,Caliper de freno delantero derecho para bus,Sistema de frenos,null,No indicado,4,145000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0016,Radiador cobre aluminio,Sistema de Enfriamiento,null,No indicado,30,95000,7,7,media,media,true,2026-05-22 20:41:10.387996
REP-0017,Caliper de freno delantero derecho para camioneta,Sistema de frenos,null,No indicado,4,81000,6,6,alta,baja,true,2026-05-22 20:41:10.387996
REP-0018,Filtro de combustible,Sistema de Combustible,null,No indicado,30,65000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0019,Caliper de freno delantero derecho para camión liviano,Sistema de frenos,null,No indicado,4,115000,5,5,alta,baja,true,2026-05-22 20:41:10.387996
REP-0020,Manguera hidráulica 1 metro,Sistema Hidráulico,null,No indicado,30,45000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0021,Aceite de dirección premium,Sistema de Dirección,null,No indicado,30,25000,5,5,media,media,true,2026-05-22 20:41:10.387996
REP-0022,Caliper de freno delantero derecho para camión pesado,Sistema de frenos,null,No indicado,4,195000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0023,Caliper de freno delantero derecho para van,Sistema de frenos,null,No indicado,4,88000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0024,Cigüeñal rectificado,Motor,null,No indicado,30,450000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0025,Caliper de freno delantero izquierdo para auto liviano,Sistema de frenos,null,No indicado,4,65000,55,55,alta,baja,true,2026-05-22 20:41:10.387996
REP-0026,Disco de freno frontal,Sistema de Frenos,null,No indicado,30,110000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0027,Caliper de freno delantero izquierdo para bus,Sistema de frenos,null,No indicado,4,145000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0028,Embrague completo,Transmisión,null,No indicado,30,380000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0029,Alternador 12V 120A,Sistema Eléctrico,null,No indicado,30,275000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0030,Caliper de freno delantero izquierdo para camioneta,Sistema de frenos,null,No indicado,4,81000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0031,Caliper de freno delantero izquierdo para camión liviano,Sistema de frenos,null,No indicado,4,115000,54,54,alta,baja,true,2026-05-22 20:41:10.387996
REP-0032,Resorte trasero reforzado,Sistema de Suspensión,null,No indicado,30,82500,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0033,Caliper de freno delantero izquierdo para camión pesado,Sistema de frenos,null,No indicado,4,195000,8,8,alta,baja,true,2026-05-22 20:41:10.387996
REP-0034,Turbocompresor reparado,Motor,null,No indicado,30,185000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0035,Caliper de freno delantero izquierdo para van,Sistema de frenos,null,No indicado,4,88000,8,8,alta,baja,true,2026-05-22 20:41:10.387996
REP-0036,Termostato 85°C,Sistema de Enfriamiento,null,No indicado,30,95000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0037,Bomba de combustible,Sistema de Combustible,null,No indicado,30,275000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0038,Caliper de freno trasero derecho para auto liviano,Sistema de frenos,null,No indicado,4,62000,22,22,alta,baja,true,2026-05-22 20:41:10.387996
REP-0039,Bomba hidráulica reparada,Sistema Hidráulico,null,No indicado,30,325000,8,8,media,media,true,2026-05-22 20:41:10.387996
REP-0040,Caliper de freno trasero derecho para bus,Sistema de frenos,null,No indicado,4,135000,8,8,alta,baja,true,2026-05-22 20:41:10.387996
REP-0041,Caliper de freno trasero derecho para camioneta,Sistema de frenos,null,No indicado,4,78000,1,1,alta,baja,true,2026-05-22 20:41:10.387996
REP-0042,Cremallera de dirección,Sistema de Dirección,null,No indicado,30,285000,3,3,media,media,true,2026-05-22 20:41:10.387996
REP-0043,Caliper de freno trasero derecho para camión liviano,Sistema de frenos,null,No indicado,4,110000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0044,Válvula motor,Motor,null,No indicado,30,105000,13,13,media,media,true,2026-05-22 20:41:10.387996
REP-0045,Caliper de freno trasero derecho para camión pesado,Sistema de frenos,null,No indicado,4,185000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0046,Cilindro maestro de frenos,Sistema de Frenos,null,No indicado,30,195000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0047,Caja de cambios reparada,Transmisión,null,No indicado,30,550000,12,12,alta,media,true,2026-05-22 20:41:10.387996
REP-0048,Caliper de freno trasero derecho para van,Sistema de frenos,null,No indicado,4,84000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0049,Caliper de freno trasero izquierdo para auto liviano,Sistema de frenos,null,No indicado,4,62000,0,0,alta,baja,true,2026-05-22 20:41:10.387996
REP-0050,Motor de arranque,Sistema Eléctrico,null,No indicado,30,165000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0051,Barra estabilizadora,Sistema de Suspensión,null,No indicado,30,145000,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0052,Caliper de freno trasero izquierdo para bus,Sistema de frenos,null,No indicado,4,135000,6,6,alta,baja,true,2026-05-22 20:41:10.387996
REP-0053,Caliper de freno trasero izquierdo para camioneta,Sistema de frenos,null,No indicado,4,78000,6,6,alta,baja,true,2026-05-22 20:41:10.387996
REP-0054,Correa de distribución,Motor,null,No indicado,30,185000,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0055,Caliper de freno trasero izquierdo para camión liviano,Sistema de frenos,null,No indicado,4,110000,6,6,alta,baja,true,2026-05-22 20:41:10.387996
REP-0056,Manguera de refrigeración,Sistema de Enfriamiento,null,No indicado,30,25000,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0057,Caliper de freno trasero izquierdo para camión pesado,Sistema de frenos,null,No indicado,4,185000,1,1,alta,baja,true,2026-05-22 20:41:10.387996
REP-0058,Kit limpieza inyectores,Sistema de Combustible,null,No indicado,30,245000,1,1,media,media,true,2026-05-22 20:41:10.387996
REP-0059,Caliper de freno trasero izquierdo para van,Sistema de frenos,null,No indicado,4,84000,6,6,alta,baja,true,2026-05-22 20:41:10.387996
REP-0060,Filtro hidráulico,Sistema Hidráulico,null,No indicado,30,65000,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0061,Cilindro de rueda trasero para auto liviano,Sistema de frenos,null,No indicado,3,18000,6,6,alta,media,true,2026-05-22 20:41:10.387996
REP-0062,Junta homocinética,Sistema de Dirección,null,No indicado,30,62500,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0063,Cilindro de rueda trasero para bus,Sistema de frenos,null,No indicado,3,40000,3,3,alta,media,true,2026-05-22 20:41:10.387996
REP-0064,Múltiple de escape,Motor,null,No indicado,30,195000,3,3,media,media,true,2026-05-22 20:41:10.387996
REP-0065,Cilindro de rueda trasero para camioneta,Sistema de frenos,null,No indicado,3,22000,3,3,alta,media,true,2026-05-22 20:41:10.387996
REP-0066,Pastilla trasera izquierda,Sistema de Frenos,null,No indicado,30,82500,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0067,Cilindro de rueda trasero para camión liviano,Sistema de frenos,null,No indicado,3,32000,6,6,alta,media,true,2026-05-22 20:41:10.387996
REP-0068,Pastilla trasera derecha,Sistema de Frenos,null,No indicado,30,82500,6,6,media,media,true,2026-05-22 20:41:10.387996
REP-0069,Cilindro de rueda trasero para camión pesado,Sistema de frenos,null,No indicado,3,54000,0,0,alta,media,true,2026-05-22 20:41:10.387996
REP-0070,Sello de diferencial,Transmisión,null,No indicado,30,85000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0071,Cable eléctrico calibre 6,Sistema Eléctrico,null,No indicado,30,5500,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0072,Cilindro de rueda trasero para van,Sistema de frenos,null,No indicado,3,24000,0,0,alta,media,true,2026-05-22 20:41:10.387996
REP-0073,Disco de freno delantero para auto liviano,Sistema de frenos,null,No indicado,2,34000,0,0,alta,media,true,2026-05-22 20:41:10.387996
REP-0074,Punta de eje,Sistema de Suspensión,null,No indicado,30,87500,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0075,Disco de freno delantero para bus,Sistema de frenos,null,No indicado,2,75000,0,0,alta,media,true,2026-05-22 20:41:10.387996
REP-0076,Kit limpieza inyectores motor,Motor,null,No indicado,30,145000,0,0,media,media,true,2026-05-22 20:41:10.387996
REP-0077,Disco de freno delantero para camioneta,Sistema de frenos,null,No indicado,2,42000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0078,Válvula termostática,Sistema de Enfriamiento,null,No indicado,30,95000,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0079,Disco de freno delantero para camión liviano,Sistema de frenos,null,No indicado,2,61000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0080,Regulador de presión,Sistema de Combustible,null,No indicado,30,75000,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0081,Cilindro hidráulico,Sistema Hidráulico,null,No indicado,30,285000,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0082,Disco de freno delantero para camión pesado,Sistema de frenos,null,No indicado,2,100000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0083,Bomba de dirección reparada,Sistema de Dirección,null,No indicado,30,95000,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0084,Disco de freno delantero para van,Sistema de frenos,null,No indicado,2,46000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0085,Disco de freno trasero para auto liviano,Sistema de frenos,null,No indicado,2,32000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0086,Sensor Lambda universal,Motor,null,No indicado,30,75000,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0087,Disco de freno trasero para bus,Sistema de frenos,null,No indicado,2,71000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0088,Pastilla frontal izquierda,Sistema de Frenos,null,No indicado,30,97500,2,2,media,media,true,2026-05-22 20:41:10.387996
REP-0089,Disco de freno trasero para camioneta,Sistema de frenos,null,No indicado,2,40000,2,2,alta,media,true,2026-05-22 20:41:10.387996
REP-0090,Pastilla frontal derecha,Sistema de Frenos,null,No indicado,30,97500,23,23,media,media,true,2026-05-22 20:41:10.387996
