sku,descripcion,sistema,componente,proveedor_principal,lead_time_dias_promedio,costo_unitario_clp,stock_actual,stock_minimo,criticidad,rotacion,activo,updated_at
REP-0730,Tuerca de rueda para auto liviano,Neumáticos y ruedas,,No indicado,2.0,3000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0736,Válvula de neumático para auto liviano,Neumáticos y ruedas,,No indicado,2.0,3000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0822,Ampolleta W5W 12 V para auto liviano,Iluminación,,No indicado,2.0,3500.0,200.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0735,Tuerca de rueda para van,Neumáticos y ruedas,,No indicado,2.0,4000.0,25.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0732,Tuerca de rueda para camioneta,Neumáticos y ruedas,,No indicado,2.0,4000.0,25.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0741,Válvula de neumático para van,Neumáticos y ruedas,,No indicado,2.0,4000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0738,Válvula de neumático para camioneta,Neumáticos y ruedas,,No indicado,2.0,4000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0816,Ampolleta P21W 12 V para auto liviano,Iluminación,,No indicado,2.0,4000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0827,Ampolleta W5W 12 V para van,Iluminación,,No indicado,2.0,4500.0,9.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0824,Ampolleta W5W 12 V para camioneta,Iluminación,,No indicado,2.0,4500.0,9.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0723,Perno de rueda para auto liviano,Neumáticos y ruedas,,No indicado,2.0,5000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0175,Bujía de níquel para auto liviano,Motor,,No indicado,2.0,5000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0427,Borne de batería positivo para auto liviano,Sistema eléctrico,,No indicado,2.0,5000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0421,Borne de batería negativo para auto liviano,Sistema eléctrico,,No indicado,2.0,5000.0,25.0,25.0,media,media,True,2026-05-22 20:41:10.387996
REP-0818,Ampolleta P21W 12 V para camioneta,Iluminación,,No indicado,2.0,5000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0786,Ampolleta H1 12 V para auto liviano,Iluminación,,No indicado,2.0,5000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0733,Tuerca de rueda para camión liviano,Neumáticos y ruedas,,No indicado,2.0,5500.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0739,Válvula de neumático para camión liviano,Neumáticos y ruedas,,No indicado,2.0,5500.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0071,Cable eléctrico calibre 6,Sistema Eléctrico,,No indicado,30.0,5500.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0821,Ampolleta P21W 12 V para van,Iluminación,,No indicado,2.0,5500.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0725,Perno de rueda para camioneta,Neumáticos y ruedas,,No indicado,2.0,6000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0098,Líquido de frenos DOT 3 para auto liviano,Sistema de frenos,,No indicado,2.0,6000.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0302,Tapa de radiador para auto liviano,Sistema de enfriamiento,,No indicado,2.0,6000.0,160.0,20.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0915,Filtro de aceite para auto liviano,Lubricación,,No indicado,2.0,6000.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0525,Buje de barra estabilizadora delantera para auto liviano,Suspensión,,No indicado,2.0,6000.0,2.0,2.0,media,media,True,2026-05-22 20:41:10.387996
REP-0177,Bujía de níquel para camioneta,Motor,,No indicado,2.0,6000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0429,Borne de batería positivo para camioneta,Sistema eléctrico,,No indicado,2.0,6000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0423,Borne de batería negativo para camioneta,Sistema eléctrico,,No indicado,2.0,6000.0,25.0,25.0,media,media,True,2026-05-22 20:41:10.387996
REP-0788,Ampolleta H1 12 V para camioneta,Iluminación,,No indicado,2.0,6000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0731,Tuerca de rueda para bus,Neumáticos y ruedas,,No indicado,2.0,6500.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0737,Válvula de neumático para bus,Neumáticos y ruedas,,No indicado,2.0,6500.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0647,Prefiltro de combustible para auto liviano,Sistema de combustible,,No indicado,2.0,6500.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0825,Ampolleta W5W 12 V para camión liviano,Iluminación,,No indicado,2.0,6500.0,3.0,3.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0728,Perno de rueda para van,Neumáticos y ruedas,,No indicado,2.0,7000.0,23.0,23.0,alta,media,True,2026-05-22 20:41:10.387996
REP-0457,Relay principal para auto liviano,Sistema eléctrico,,No indicado,2.0,7000.0,75.0,50.0,media,media,True,2026-05-22 20:41:10.387996
REP-0205,Filtro de aire para auto liviano,Motor,,No indicado,2.0,7000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0180,Bujía de níquel para van,Motor,,No indicado,2.0,7000.0,23.0,23.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0432,Borne de batería positivo para van,Sistema eléctrico,,No indicado,2.0,7000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0426,Borne de batería negativo para van,Sistema eléctrico,,No indicado,2.0,7000.0,0.0,0.0,media,media,True,2026-05-22 20:41:10.387996
REP-0819,Ampolleta P21W 12 V para camión liviano,Iluminación,,No indicado,2.0,7000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0791,Ampolleta H1 12 V para van,Iluminación,,No indicado,2.0,7000.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0102,Líquido de frenos DOT 3 para camioneta,Sistema de frenos,,No indicado,2.0,7500.0,23.0,23.0,alta,alta,True,2026-05-22 20:41:10.387996
REP-0756,Plumilla limpiaparabrisas 14 pulgadas para auto liviano,Carrocería,,No indicado,2.0,7500.0,21.0,21.0,baja,alta,True,2026-05-22 20:41:10.387996
REP-0304,Tapa de radiador para camioneta,Sistema de enfriamiento,,No indicado,2.0,7500.0,160.0,20.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0623,Filtro de combustible para auto liviano,Sistema de combustible,,No indicado,2.0,7500.0,0.0,0.0,media,alta,True,2026-05-22 20:41:10.387996
REP-0917,Filtro de aceite para camioneta,Lubricación,,No indicado,2.0,7500.0,2.0,2.0,media,alta,True,2026-05-22 20:41:10.387996
