activo_id,fecha_corte,horizonte_dias,edad_dias,edad_anos,odometro_actual,horometro_actual,km_dia_promedio,horas_dia_promedio,dias_desde_ultima_ot,count_ot_30d,count_ot_90d,count_ot_180d,count_correctivas_30d,count_correctivas_90d,count_correctivas_180d,costo_total_30d,costo_total_90d,costo_total_180d,mtbf_180d,dias_ult_correctiva_motor,dias_ult_correctiva_frenos,dias_ult_correctiva_transmision,target,created_at
ACE-0001,2026-01-06,7,182.0,0.49828884325804246,35426.0,796.0,-1.0,-1.0,48.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,571000.0,571000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0002,2026-01-06,7,3482.0,9.533196440793978,875159.0,17337.9,-1.0,-1.0,58.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2051000.0,2051000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0003,2026-01-06,7,2890.0,7.912388774811773,138961.0,5139.6,-1.0,-1.0,129.0,-1.0,-1.0,3.0,-1.0,-1.0,3.0,-1.0,-1.0,5812000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0004,2026-01-06,7,1237.0,3.3867214236824092,76097.0,3258.2,-1.0,-1.0,51.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,2843000.0,3316000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0005,2026-01-06,7,1421.0,3.890485968514716,165421.0,7647.5,-1.0,-1.0,85.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1618000.0,1618000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0006,2026-01-06,7,818.0,2.239561943874059,97427.0,3531.4,-1.0,-1.0,46.0,-1.0,1.0,2.0,-1.0,1.0,1.0,-1.0,2063000.0,2423000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0007,2026-01-06,7,1462.0,4.002737850787132,410427.0,8058.2,-1.0,-1.0,151.0,-1.0,-1.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,2415000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0008,2026-01-06,7,1595.0,4.3668720054757015,315612.0,5255.8,-1.0,-1.0,160.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1857000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0009,2026-01-06,7,1729.0,4.733744010951403,269937.0,7431.9,-1.0,-1.0,44.0,-1.0,2.0,3.0,-1.0,1.0,2.0,-1.0,2162000.0,3628000.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
ACE-0010,2026-01-06,7,2895.0,7.926078028747433,296304.0,18467.6,-1.0,-1.0,224.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2026-06-05 20:18:45.492349+00:00
