panel_id,vista,metrica,valor,valor_anterior,fecha_calculo,horizonte_dias,nota
81,Estado y Riesgo,Disponibilidad,96.48796998870439,96.48796998870439,2026-06-08 02:37:37.750584,,
82,Estado y Riesgo,P1 Crítica,0.0,0.0,2026-06-08 02:37:42.586126,7.0,
83,Estado y Riesgo,P2 Alta,17.0,17.0,2026-06-08 02:37:47.349474,7.0,
84,Estado y Riesgo,P1 Crítica,7.0,7.0,2026-06-08 02:37:52.201078,30.0,
85,Estado y Riesgo,P2 Alta,47.0,47.0,2026-06-08 02:37:57.050539,30.0,
86,Estado y Riesgo,P1 Crítica,7.0,7.0,2026-06-08 02:38:01.903708,90.0,
87,Estado y Riesgo,P2 Alta,110.0,110.0,2026-06-08 02:38:06.728124,90.0,
88,Estado y Riesgo,Fallas anticipadas,0.0,0.0,2026-06-08 02:38:12.644174,,
89,Estado y Riesgo,MTBF,4088.4774791318864,,2026-06-08 02:38:19.523098,,
90,Plan de Acción,Intervenciones próximas 7d,17.0,17.0,2026-06-08 02:38:25.487160,7.0,
91,Plan de Acción,Intervenciones próximas 30d,54.0,54.0,2026-06-08 02:38:31.500725,30.0,
92,Plan de Acción,Intervenciones próximas 90d,117.0,117.0,2026-06-08 02:38:37.578144,90.0,
93,Plan de Acción,Backlog OT,3.0,3.0,2026-06-08 02:38:42.383088,,
94,Plan de Acción,Cumplimiento PM,100.0,100.0,2026-06-08 02:38:47.157872,,
95,Impacto y Desempeño,Costo evitado,,,2026-06-08 02:38:55.551162,,
96,Impacto y Desempeño,Downtime evitado,,,2026-06-08 02:39:04.964339,,
97,Impacto y Desempeño,Costo mantenimiento 30d,1029575.4716981133,1029575.4716981133,2026-06-08 02:39:10.914655,,
98,Impacto y Desempeño,Costo mantenimiento 90d,1650666.1951909477,1650666.1951909477,2026-06-08 02:39:16.954083,,
80,Estado y Riesgo,Unidades operativas,1198.0,1195.0,2026-06-08 02:37:30.479707,,
