activo_id,patente,marca,modelo,anio_fabricacion,fecha_alta_flota,tipo_vehiculo,motor_tipo,estado_actual,odometro_km,horometro_h,created_at,updated_at
ACE-0001,FKFD95,Scania,R440,2025,2025-07-08,camion larga distancia,DC13,Activo,86400.0,1764.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0002,TVYL42,Kenworth,T680,2015,2016-06-25,camion larga distancia,Cummins X15,baja,919800.0,18374.8,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0003,TZLN71,Volkswagen,Delivery 11.180,2018,2018-02-07,camion distribucion,Cummins ISF 3.8,Activo,150500.0,5585.4,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0004,NDZF72,Kenworth,T880,2020,2022-08-18,camion vocacional pesado,PACCAR MX-13,Activo,88200.0,3770.1,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0005,XPMY47,Freightliner,M2 106,2022,2022-02-15,camion distribucion,Cummins ISL,Activo,191100.0,8838.7,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0006,TZZW35,MAN,TGL,2023,2023-10-11,camion distribucion,D08,Activo,118200.0,4305.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0007,BFDB80,Volkswagen,Constellation 24.280,2020,2022-01-05,camion distribucion,MAN D08,Activo,486200.0,9639.3,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0008,HNSF20,Volvo,FH,2020,2021-08-25,camion larga distancia,D13,Activo,373000.0,6210.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0009,DDFL40,Hino,GH,2020,2021-04-13,camion distribucion,J08E,Activo,298600.0,8205.9,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
ACE-0010,KJKH40,Freightliner,M2 112,2017,2018-02-02,camion vocacional,Detroit DD13,Activo,334400.0,20654.2,2026-05-24 14:24:58.472486+00:00,2026-05-24 14:24:58.472486+00:00
